id,name,arm,mel,sht,bmr,phr,mdf,sdf
1,主角機,0.05,0.10,0.00,0.00,0.00,0.00,0.00
2,量產機,0.15,0.00,0.00,0.00,0.00,0.00,0.00
3,王牌專用機,0.00,0.00,0.10,0.00,0.05,0.00,0.00
4,水陸兩用,0.00,0.05,0.00,0.00,0.00,0.10,0.00
5,指揮官機,0.00,0.00,0.10,0.00,0.00,0.05,0.00
6,近身戰,0.05,0.05,0.00,0.05,0.00,0.00,0.00
7,中距離戰,0.00,0.00,0.05,0.00,0.00,0.05,0.05
8,遠距離戰,0.00,0.00,0.05,0.00,0.05,0.05,0.00
9,高機動,0.00,0.05,0.00,0.00,0.05,0.05,0.00
10,高火力,0.05,0.05,0.05,0.00,0.00,0.00,0.00
11,重裝甲,0.00,0.00,0.05,0.05,0.05,0.00,0.00
12,可變,0.00,0.05,0.00,0.00,0.10,0.00,0.00
13,鋼彈系,0.05,0.00,0.05,0.00,0.00,0.00,0.05
14,MF,0.00,0.10,0.00,0.05,0.00,0.00,0.00
15,支援機,0.00,0.00,0.05,0.00,0.00,0.00,0.10
16,聯邦,0.00,0.05,0.05,0.00,0.05,0.00,0.00
17,吉翁,0.00,0.05,0.00,0.10,0.00,0.00,0.00
18,薩克系,0.05,0.05,0.00,0.00,0.00,0.00,0.05
19,吉姆系,0.00,0.00,0.05,0.05,0.00,0.00,0.05
20,宇宙適性,0.03,0.03,0.03,0.03,0.03,0.03,0.03
21,沙漠適性,0.03,0.03,0.03,0.03,0.03,0.03,0.03
22,寒帶適性,0.03,0.03,0.03,0.03,0.03,0.03,0.03
23,森林適性,0.03,0.03,0.03,0.03,0.03,0.03,0.03
24,市區適性,0.03,0.03,0.03,0.03,0.03,0.03,0.03
25,基地適性,0.03,0.03,0.03,0.03,0.03,0.03,0.03
26,電腦適性,0.03,0.03,0.03,0.03,0.03,0.03,0.03
,,,,,,,,
